Date,User email,Account UUID,Product,Model,Model family,Request count,Prompt tokens,Completion tokens,Net spend (USD),Gross spend (USD)
2026-06-16,roberto.santos@profissionaissa.com,acct_1000,Claude Code,claude-opus-4-8,Opus,27,45377,53473,1.5637,1.7983
2026-06-16,roberto.santos@profissionaissa.com,acct_1000,Claude Code,claude-sonnet-5,Sonnet,20,31460,9728,0.2403,0.2763
2026-06-16,ti@profissionaissa.com,acct_1001,Claude Code,claude-opus-4-8,Opus,46,13273,57967,1.5155,1.7428
2026-06-16,ti@profissionaissa.com,acct_1001,Claude Code,claude-sonnet-5,Sonnet,4,4842,10440,0.1711,0.1968
2026-06-16,crm.psa@profissionaissa.com,acct_1002,Claude Code,claude-opus-4-8,Opus,30,28318,24292,0.7489,0.8612
2026-06-16,crm.psa@profissionaissa.com,acct_1002,Claude Code,claude-haiku-4-5,Haiku,8,3356,2944,0.0181,0.0208
2026-06-16,bruna.eckhardt@profissionaissa.com,acct_1005,Claude Code,claude-opus-4-8,Opus,7,2978,13630,0.3556,0.4089
2026-06-17,roberto.santos@profissionaissa.com,acct_1000,Claude Code,claude-opus-4-8,Opus,41,42522,32858,1.0341,1.1892
2026-06-17,roberto.santos@profissionaissa.com,acct_1000,Claude Code,claude-sonnet-5,Sonnet,14,11518,14642,0.2542,0.2923
2026-06-17,ti@profissionaissa.com,acct_1001,Claude Code,claude-opus-4-8,Opus,34,36730,44155,1.2875,1.4806
2026-06-17,ti@profissionaissa.com,acct_1001,Claude Code,claude-sonnet-5,Sonnet,7,2306,12447,0.1936,0.2226
2026-06-17,crm.psa@profissionaissa.com,acct_1002,Claude Code,claude-opus-4-8,Opus,23,7348,51243,1.3178,1.5155
2026-06-17,crm.psa@profissionaissa.com,acct_1002,Claude Code,claude-sonnet-5,Sonnet,5,7376,9048,0.1578,0.1815
2026-06-17,bruna.simoni@profissionaissa.com,acct_1004,Chat,claude-opus-4-8,Opus,7,8032,14004,0.3903,0.4488
2026-06-17,bruna.simoni@profissionaissa.com,acct_1004,Chat,claude-sonnet-5,Sonnet,2,2252,602,0.0158,0.0182
2026-06-18,roberto.santos@profissionaissa.com,acct_1000,Claude Code,claude-opus-4-8,Opus,16,23444,16110,0.5200,0.5980
2026-06-18,roberto.santos@profissionaissa.com,acct_1000,Claude Code,claude-sonnet-5,Sonnet,3,4540,6053,0.1044,0.1201
2026-06-18,ti@profissionaissa.com,acct_1001,Claude Code,claude-opus-4-8,Opus,16,8514,23005,0.6177,0.7104
2026-06-18,ti@profissionaissa.com,acct_1001,Claude Code,claude-haiku-4-5,Haiku,1,832,571,0.0037,0.0043
2026-06-18,bruna.simoni@profissionaissa.com,acct_1004,Chat,claude-sonnet-5,Sonnet,2,1886,2572,0.0442,0.0508
2026-06-19,ti@profissionaissa.com,acct_1001,Claude Code,claude-opus-4-8,Opus,42,37525,48053,1.3889,1.5972
2026-06-19,bernardo.haab@profissionaissa.com,acct_1003,Chat,claude-opus-4-8,Opus,7,1918,4484,0.1217,0.1400
2026-06-19,bruna.simoni@profissionaissa.com,acct_1004,Chat,claude-sonnet-5,Sonnet,2,2204,3814,0.0638,0.0734
2026-06-22,roberto.santos@profissionaissa.com,acct_1000,Claude Code,claude-opus-4-8,Opus,9,12915,10225,0.3202,0.3682
2026-06-22,roberto.santos@profissionaissa.com,acct_1000,Claude Code,claude-sonnet-5,Sonnet,17,6226,41000,0.6337,0.7288
2026-06-22,roberto.santos@profissionaissa.com,acct_1000,Claude Code,claude-haiku-4-5,Haiku,3,3354,4449,0.0256,0.0294
2026-06-22,ti@profissionaissa.com,acct_1001,Claude Code,claude-opus-4-8,Opus,23,38499,11174,0.4718,0.5426
2026-06-22,ti@profissionaissa.com,acct_1001,Claude Code,claude-sonnet-5,Sonnet,16,7106,29115,0.4580,0.5267
2026-06-22,crm.psa@profissionaissa.com,acct_1002,Claude Code,claude-opus-4-8,Opus,42,38371,58127,1.6450,1.8917
2026-06-22,bernardo.haab@profissionaissa.com,acct_1003,Chat,claude-sonnet-5,Sonnet,1,528,460,0.0085,0.0098
2026-06-22,bruna.simoni@profissionaissa.com,acct_1004,Chat,claude-sonnet-5,Sonnet,4,5690,5640,0.1017,0.1170
2026-06-22,bruna.simoni@profissionaissa.com,acct_1004,Chat,claude-haiku-4-5,Haiku,1,440,1796,0.0094,0.0108
2026-06-22,bruna.eckhardt@profissionaissa.com,acct_1005,Claude Code,claude-opus-4-8,Opus,11,4238,26795,0.6911,0.7948
2026-06-22,bruna.eckhardt@profissionaissa.com,acct_1005,Claude Code,claude-sonnet-5,Sonnet,8,3279,7568,0.1234,0.1419
2026-06-22,bruna.eckhardt@profissionaissa.com,acct_1005,Claude Code,claude-haiku-4-5,Haiku,2,1712,3993,0.0217,0.0250
2026-06-23,roberto.santos@profissionaissa.com,acct_1000,Claude Code,claude-opus-4-8,Opus,4,1522,6129,0.1608,0.1849
2026-06-23,roberto.santos@profissionaissa.com,acct_1000,Claude Code,claude-sonnet-5,Sonnet,23,15410,15684,0.2815,0.3237
2026-06-23,roberto.santos@profissionaissa.com,acct_1000,Claude Code,claude-haiku-4-5,Haiku,4,3603,6333,0.0353,0.0406
2026-06-23,crm.psa@profissionaissa.com,acct_1002,Claude Code,claude-opus-4-8,Opus,11,6868,25118,0.6623,0.7616
2026-06-23,bernardo.haab@profissionaissa.com,acct_1003,Chat,claude-haiku-4-5,Haiku,1,678,851,0.0049,0.0056
2026-06-23,bruna.eckhardt@profissionaissa.com,acct_1005,Claude Code,claude-haiku-4-5,Haiku,2,1938,3246,0.0182,0.0209
2026-06-24,roberto.santos@profissionaissa.com,acct_1000,Claude Code,claude-opus-4-8,Opus,30,37004,74990,2.0598,2.3688
2026-06-24,roberto.santos@profissionaissa.com,acct_1000,Claude Code,claude-sonnet-5,Sonnet,21,19923,52345,0.8449,0.9716
2026-06-24,bernardo.haab@profissionaissa.com,acct_1003,Chat,claude-opus-4-8,Opus,12,3894,21733,0.5628,0.6472
2026-06-24,bernardo.haab@profissionaissa.com,acct_1003,Chat,claude-sonnet-5,Sonnet,8,1746,19387,0.2960,0.3404
2026-06-24,bruna.simoni@profissionaissa.com,acct_1004,Chat,claude-opus-4-8,Opus,3,2924,1282,0.0467,0.0537
2026-06-24,bruna.simoni@profissionaissa.com,acct_1004,Chat,claude-sonnet-5,Sonnet,2,1670,4514,0.0727,0.0836
2026-06-25,roberto.santos@profissionaissa.com,acct_1000,Claude Code,claude-opus-4-8,Opus,27,26130,16718,0.5486,0.6309
2026-06-25,roberto.santos@profissionaissa.com,acct_1000,Claude Code,claude-sonnet-5,Sonnet,13,4448,12678,0.2035,0.2340
2026-06-25,roberto.santos@profissionaissa.com,acct_1000,Claude Code,claude-haiku-4-5,Haiku,2,1351,2126,0.0120,0.0138
2026-06-25,ti@profissionaissa.com,acct_1001,Claude Code,claude-opus-4-8,Opus,26,27820,66851,1.8104,2.0820
2026-06-25,crm.psa@profissionaissa.com,acct_1002,Claude Code,claude-opus-4-8,Opus,8,3420,11858,0.3135,0.3605
2026-06-25,bernardo.haab@profissionaissa.com,acct_1003,Chat,claude-opus-4-8,Opus,13,17904,27471,0.7763,0.8927
